硅指标目录 Sheet Name 修复报告 硅产业链数据_workflow_ai.xlsx
备份: 硅产业链数据_workflow_ai_backup_fix_silicon_catalog_sheets.xlsx
指标行填表: 2354 | 多候选需人工: 2 | 未找到: 0 | 引用行跳过: 0
自检(全部指标行 sheet+col 与数据名称行一致): FAIL x2
错位/变更行数(对比修复前分组): 1182

=== 错位行清单 (row | 原分组 -> 真实sheet | 指标) ===
r856 | <组:多晶硅仓单-日> -> 铝合金PMI-月 | SMM: 再生铝合金产品库存指数: 月度
r857 | <组:多晶硅仓单-日> -> 铝合金PMI-月 | SMM: 再生铝合金原材料库存指数: 月度
r858 | <组:多晶硅仓单-日> -> 铝合金PMI-月 | SMM: 原生铝合金产品库存指数: 月度
r859 | <组:多晶硅仓单-日> -> 铝合金PMI-月 | SMM: 原生铝合金原材料库存指数: 月度
r861 | <组:多晶硅仓单-日> -> 光伏玻璃产能-周 | SMM: 中国光伏玻璃总产能: 周度
r866 | <组:有机硅产能+产量+开工-周> -> 光伏玻璃产能-周 | SMM: 中国光伏玻璃在产产能: 周度
r868 | <组:有机硅产能+产量+开工-周> -> 电池片产能-月 | SMM: 光伏电池产能: 月度
r875 | <组:多晶硅产能预测-月> -> 多晶硅产能-月 | SMM: 多晶硅产能统计: 月度
r878 | <组:工业硅产能-月> -> 多晶硅产能-月 | SMM: 当月多晶硅超负荷生产所达到理论产能: 月度
r880 | <组:工业硅产能-月> -> 高纯石英砂产能-月 | SMM: 光伏坩埚用高纯石英砂产能: 月度
r882 | <组:工业硅产能-月> -> 组件产能预测-月 | SMM: 光伏组件产能预期值: 月度
r885 | <组:组件产能-月> -> 组件产能预测-月 | SMM: 境内组件预计产能: 月度
r887 | <组:组件产能-月> -> 组件产能预测-月 | SMM: 境外组件预计产能: 月度
r895 | <组:硅片产能预测-月> -> 硅片产能-月 | SMM: 硅片当前产能: 月度
r923 | <组:光伏玻璃产能-月> -> 光伏胶膜产能-月 | SMM: 境内光伏胶膜年产能: 月度
r930 | <组:组件产能-年> -> 工业硅样本产量-周 | SMM: 云南样本产量: 周度
r931 | <组:组件产能-年> -> 工业硅样本产量-周 | SMM: 四川样本产量: 周度
r932 | <组:组件产能-年> -> 工业硅样本产量-周 | SMM: 四川样本产量（大）: 周度
r933 | <组:组件产能-年> -> 工业硅样本产量-周 | SMM: 新疆样本产量: 周度
r937 | <组:多晶硅产量-周> -> 有机硅产能+产量+开工-周 | SMM: 有机硅DMC产量: 周度
r938 | <组:多晶硅产量-周> -> 工业硅样本产量-周 | SMM: 西北工业硅调研样本产量: 周度
r940 | <组:多晶硅产量-周> -> 硅片产量-周 | SMM: 硅片产量: 周度
r942 | <组:多晶硅产量-周> -> 电池片排产-月 | SMM: 光伏电池月度总排产量: 月度
r944 | <组:多晶硅产量-周> -> 组件产量-月 | SMM: 组件总产量: 月度
r956 | <组:光伏玻璃产量-月> -> 工业硅产量分省份-月 | SMM: 97硅产量: 月度
r959 | <组:电池片产量-月> -> 工业硅产量分省份-月 | SMM: 再生硅产量: 月度
r962 | <组:印度电池片产量-月> -> 电池片产量-月 | SMM: 境内BC电池产量: 月度
r963 | <组:印度电池片产量-月> -> 电池片排产-月 | SMM: 境内BC电池排产量: 月度
r964 | <组:印度电池片产量-月> -> 电池片产量-月 | SMM: 境内HJT电池产量: 月度
r965 | <组:印度电池片产量-月> -> 电池片排产-月 | SMM: 境内HJT电池排产量: 月度
